neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
"nicht, rauchende Person",Nichtraucher,Nichtraucherin,Nichtraucher:in,Nichtraucher_in,Nichtraucher*in,Nichtraucher/in,NichtraucherIn
"notariell, arbeitende Person",Notar,Notarin,Notar:in,Notar_in,Notar*in,Notar/in,NotarIn
"notärztliche, Fachkraft Person, im, notärztlichen, Dienst",Notarzt,Notärztin,Notärzt:in,Notärzt_in,Notärzt*in,Notärzt/in,NotärztIn
"benutzende Person, nutzende Person Person, die, , nutzt",Nutzer,Nutzerin,Nutzer:in,Nutzer_in,Nutzer*in,Nutzer/in,NutzerIn
"ökonomisch, ausgebildete Person",Ökonom,Ökonomin,Ökonom:in,Ökonom_in,Ökonom*in,Ökonom/in,ÖkonomIn
"Organisation, Organisationsteam/-komitee, organisiert, von, , Organisierende",Organisatoren,Organisatorin,Organisator:in,Organisator_in,Organisator*in,Organisator/in,OrganisatorIn
Gegenüber,Partner,Partnerin,Partner:in,Partner_in,Partner*in,Partner/in,PartnerIn
"zu, behandelnde Person, kranke Person, zu, versorgende Person, Fachberatung, aufsuchende Person Person, die, sich, in, medizinische, Hände, begibt, Hilfesuchende Person, stationär, aufgenommene Person, die, uns, anvertraute Person Person, die, medizinische, Hilfe, benötigt, Pat./Pat*",Patient,Patientin,Patient:in,Patient_in,Patient*in,Patient/in,PatientIn
Pendelnde,Pendler,Pendlerin,Pendler:in,Pendler_in,Pendler*in,Pendler/in,PendlerIn
Pflegekraft,Pfleger,Pflegerin,Pfleger:in,Pfleger_in,Pfleger*in,Pfleger/in,PflegerIn
gelehrte Person,Philosoph,Philosophin,Philosoph:in,Philosoph_in,Philosoph*in,Philosoph/in,PhilosophIn
"Person, mit, abgeschlossenem, Physikstudium",Physiker,Physikerin,Physiker:in,Physiker_in,Physiker*in,Physiker/in,PhysikerIn
"Physiotherapie, praktizierende Person",Physiotherapeut,Physiotherapeutin,Physiotherapeut:in,Physiotherapeut_in,Physiotherapeut*in,Physiotherapeut/in,PhysiotherapeutIn
"flugzeugführende, Belegschaft",Pilot,Pilotin,Pilot:in,Pilot_in,Pilot*in,Pilot/in,PilotIn
vorkämpfende Person,Pionier,Pionierin,Pionier:in,Pionier_in,Pionier*in,Pionier/in,PionierIn
lyrikschaffende Person,Poet,Poetin,Poet:in,Poet_in,Poet*in,Poet/in,PoetIn
"Mensch in der Politik, Mitglied der Politik, Polit-Größe, in der Politik tätige Person, Teil der Legislative, Politkeron",Politiker,Politikerin,Politiker:in,Politiker_in,Politiker*in,Politiker/in,PolitikerIn
"Polizeikraft, Polizei, Poliziston",Polizist,Polizistin,Polizist:in,Polizist_in,Polizist*in,Polizist/in,PolizistIn
Postzustellung,Postbote,Postbote,Postbote,Postbote,Postbote,Postbote,Postbote
"Praktikumskraft, eine ein Praktikum absolvierende Person, eine Person im Praktikum, eine sich in einem Praktikumverhältnis befindende Person, Praktinkanton",Praktikant,Praktikantin,Praktikant:in,Praktikant_in,Praktikant*in,Praktikant/in,PraktikantIn
"Staatsoberhaupt, Vorsitz",Präsident,Präsidentin,Präsident:in,Präsident_in,Präsident*in,Präsident/in,PräsidentIn
"die Produktionsleitung innehabende Person, Produzenton",Produzent,Produzentin,Produzent:in,Produzent_in,Produzent*in,Produzent/in,ProduzentIn
"eine Professur innehabende Person, Prof.",Professor,Professorin,Professor:in,Professor_in,Professor*in,Professor/in,ProfessorIn
programmierende Person,Programmierer,Programmiererin,Programmierer:in,Programmierer_in,Programmierer*in,Programmierer/in,ProgrammiererIn
Projektentwicklung,Projektentwickler,Projektentwicklerin,Projektentwickler:in,Projektentwickler_in,Projektentwickler*in,Projektentwickler/in,ProjektentwicklerIn
Projektleitung,Projektleiter,Projektleiterin,Projektleiter:in,Projektleiter_in,Projektleiter*in,Projektleiter/in,ProjektleiterIn
"Figur, Hauptperson, Hauptfigur, zentrale Gestalt, Schlüsselfigur, Titelrolle, Protagoniston",Protagonist,Protagonistin,Protagonist:in,Protagonist_in,Protagonist*in,Protagonist/in,ProtagonistIn
"psychologische Fachkraft, Psychologon",Psychologe,Psychologin,Psycholog:in,Psycholog_in,Psycholog*in,Psycholog/in,PsychologIn
"psychotherapeutisches Fachpersonal, psychotherapeutische Fachkraft, Psychotherapeuton",Psychotherapeut,Psychotherapeutin,Psychotherapeut:in,Psychotherapeut_in,Psychotherapeut*in,Psychotherapeut/in,PsychotherapeutIn
"Reinigungspersonal, Reinigungskraft, Raumpflege",Putzmann,Putzfrau,Putzfrau,Putzfrau,Putzfrau,Putzfrau,Putzfrau
"Rad Fahrende, wer mit dem Rad unterwegs ist, Radfahreron ",Radfahrer,Radfahrerin,Radfahrer:in,Radfahrer_in,Radfahrer*in,Radfahrer/in,RadfahrerIn
"rassistische Person, Rassiston",Rassist,Rassistin,Rassist:in,Rassist_in,Rassist*in,Rassist/in,RassistIn
"Wegbegleitung, Beistand, ratgebende Person, beratende Person, Ratgeberon",Ratgeber,Ratgeberin,Ratgeber:in,Ratgeber_in,Ratgeber*in,Ratgeber/in,RatgeberIn
"rechts gesinnte Person, Rechteron",Rechter,Rechterin,Rechter:in,Rechter_in,Rechter*in,Rechter/in,RechterIn
"Rechtsbeistand, Mitglied der Rechtsanwaltschaft, Rechtsvertretung, rechtliche Vertretung, Rechtsanwalton",Rechtsanwalt,Rechtsanwältin,Rechtsanwält:in,Rechtsanwält_in,Rechtsanwält*in,Rechtsanwält/in,RechtsanwältIn
"rechtsextrem, gesinnte Person",Rechtsextremer,Rechtsextreme,Rechtsextreme,Rechtsextreme,Rechtsextreme,Rechtsextreme,Rechtsextreme
"Redaktion, Redaktionsmitglied",Redakteur,Redakteurin,Redakteur:in,Redakteur_in,Redakteur*in,Redakteur/in,RedakteurIn
"Staatsoberhaupt, Regierung, anführende Person",Regierungschef,Regierungschefin,Regierungschef:in,Regierungschef_in,Regierungschef*in,Regierungschef/in,RegierungschefIn
Regie,Regisseur,Regisseurin,Regisseur:in,Regisseur_in,Regisseur*in,Regisseur/in,RegisseurIn
"Person die reitet, Reiteron",Reiter,Reiterin,Reiter:in,Reiter_in,Reiter*in,Reiter/in,ReiterIn
Schulleitung,Rektor,Rektorin,Rektor:in,Rektor_in,Rektor*in,Rektor/in,RektorIn
"Person im Ruhestand, Person in Rente, Rentneron",Rentner,Rentnerin,Rentner:in,Rentner_in,Rentner*in,Rentner/in,RentnerIn
"Presse, berichterstattende Person, Medienvertretung",Reporter,Reporterin,Reporter:in,Reporter_in,Reporter*in,Reporter/in,ReporterIn
"Empfangsperson, Empfangspersonal, Person am Empfang, Rezeption, Rezeptioniston",Rezeptionist,Rezeptionistin,Rezeptionist:in,Rezeptionist_in,Rezeptionist*in,Rezeptionist/in,RezeptionistIn
rechtsprechende Person,Richter,Richterin,Richter:in,Richter_in,Richter*in,Richter/in,RichterIn
"Person im Rollstuhl, Rollstuhlfahreron",Rollstuhlfahrer,Rollstuhlfahrerin,Rollstuhlfahrer:in,Rollstuhlfahrer_in,Rollstuhlfahrer*in,Rollstuhlfahrer/in,RollstuhlfahrerIn
Sängeron,Sänger,Sängerin,Sänger:in,Sänger_in,Sänger*in,Sänger/in,SängerIn
"Rollen, Besetzung, Darstellende",Schauspieler,Schauspielerin,Schauspieler:in,Schauspieler_in,Schauspieler*in,Schauspieler/in,SchauspielerIn
"Spielleitung, schiedsrichtende Person, schiedsrichtendes, Gremium, Schiedsgericht",Schiedsrichter,Schiedsrichterin,Schiedsrichter:in,Schiedsrichter_in,Schiedsrichter*in,Schiedsrichter/in,SchiedsrichterIn
schreibende Person,Schreiber,Schreiberin,Schreiber:in,Schreiber_in,Schreiber*in,Schreiber/in,SchreiberIn
bücherschreibende Person,Schriftsteller,Schriftstellerin,Schriftsteller:in,Schriftsteller_in,Schriftsteller*in,Schriftsteller/in,SchriftstellerIn
"schuhherstellende, Fachkraft",Schuhmacher,Schuhmacherin,Schuhmacher:in,Schuhmacher_in,Schuhmacher*in,Schuhmacher/in,SchuhmacherIn
"Schulkind, Klassenmitglied, lernende Person",Schüler,Schülerin,Schüler:in,Schüler_in,Schüler*in,Schüler/in,SchülerIn
Schulleitung,Schulleiter,Schulleiterin,Schulleiter:in,Schulleiter_in,Schulleiter*in,Schulleiter/in,SchulleiterIn
"schwimmende Person, Mensch mit Spaß am Schwimmen, Schwimmeron",Schwimmer,Schwimmerin,Schwimmer:in,Schwimmer_in,Schwimmer*in,Schwimmer/in,SchwimmerIn
"selbstständig, arbeitende Person",Selbstständiger,Selbstständige,Selbstständige,Selbstständige,Selbstständige,Selbstständige,Selbstständige
sexistische Person,Sexist,Sexistin,Sexist:in,Sexist_in,Sexist*in,Sexist/in,SexistIn
"Erster, Platz, erstplatzierte Person",Sieger,Siegerin,Sieger:in,Sieger_in,Sieger*in,Sieger/in,SiegerIn
"Software, entwickelnde Person",Softwareentwickler,Softwareentwicklerin,Softwareentwickler:in,Softwareentwickler_in,Softwareentwickler*in,Softwareentwickler/in,SoftwareentwicklerIn
Mitglied der Streitkräfte eines Landes,Soldat,Soldatin,Soldat:in,Soldat_in,Soldat*in,Soldat/in,SoldatIn
Solopart,Solist,Solistin,Solist:in,Solist_in,Solist*in,Solist/in,SolistIn
Fachkraft für Soziale Arbeit,Sozialarbeiter,Sozialarbeiterin,Sozialarbeiter:in,Sozialarbeiter_in,Sozialarbeiter*in,Sozialarbeiter/in,SozialarbeiterIn
sozialpädagogische Fachkraft,Sozialpädagoge,Sozialpädagogin,Sozialpädagog:in,Sozialpädagog_in,Sozialpädagog*in,Sozialpädagog/in,SozialpädagogIn
Spaßbremse,Spaßverderber,Spaßverderberin,Spaßverderber:in,Spaßverderber_in,Spaßverderber*in,Spaßverderber/in,SpaßverderberIn
"zu Fuß spazierende Person, wandernde Person, Wandersperson, Sparziergängeron",Spaziergänger,Spaziergängerin,Spaziergänger:in,Spaziergänger_in,Spaziergänger*in,Spaziergänger/in,SpaziergängerIn
"auf spezialisierte Person, Spezialiston",Spezialist,Spezialistin,Spezialist:in,Spezialist_in,Spezialist*in,Spezialist/in,SpezialistIn
Teammitglied,Spieler,Spielerin,Spieler:in,Spieler_in,Spieler*in,Spieler/in,SpielerIn
"Spielleitung, Spielmoderation",Spielleiter,Spielleiterin,Spielleiter:in,Spielleiter_in,Spielleiter*in,Spielleiter/in,SpielleiterIn
"Spielverderbende Person, Spaßbremse",Spielverderber,Spielverderberin,Spielverderber:in,Spielverderber_in,Spielverderber*in,Spielverderber/in,SpielverderberIn
"sporttreibende Person, sportlich, aktiver, Mensch, Aktivmensch, Fitmensch, Sportleron",Sportler,Sportlerin,Sportler:in,Sportler_in,Sportler*in,Sportler/in,SportlerIn
"Stimme, Text, gesprochen, von, Moderation, Kommentar, Ansage, sprechende Person",Sprecher,Sprecherin,Sprecher:in,Sprecher_in,Sprecher*in,Sprecher/in,SprecherIn
"Sprachrohr, Pressestelle, öffentlichkeitsarbeit, Sprecheron",Sprecher,Sprecherin,Sprecher:in,Sprecher_in,Sprecher*in,Sprecher/in,SprecherIn
"Stadtführung, Reiseleitung, Stadtführeron",Stadtführer,Stadtführerin,Stadtführer:in,Stadtführer_in,Stadtführer*in,Stadtführer/in,StadtführerIn
"Steuerberatung, Steuerkanzlei, zu Steuern beratende Person, der steuerberatenden Berufe angehörige Person, Steuerberateron",Steuerberater,Steuerberaterin,Steuerberater:in,Steuerberater_in,Steuerberater*in,Steuerberater/in,SteuerberaterIn
"steuerzahlende Person, steuerpflichtige Person",Steuerzahler,Steuerzahlerin,Steuerzahler:in,Steuerzahler_in,Steuerzahler*in,Steuerzahler/in,SteuerzahlerIn
geförderte Person,Stipendiat,Stipendiatin,Stipendiat:in,Stipendiat_in,Stipendiat*in,Stipendiat/in,StipendiatIn
"Studi, Mitglied der Studierenden, Studenton, Studierende",Student,Studentin,Student:in,Student_in,Student*in,Student/in,StudentIn
"Studienbeginnende, ""Erstis"", Erstsemestrige",Studienanfänger,Studienanfängerin,Studienanfänger:in,Studienanfänger_in,Studienanfänger*in,Studienanfänger/in,StudienanfängerIn
"Tanzende, Tanzbegeisterte",Tänzer,Tänzerin,Tänzer:in,Tänzer_in,Tänzer*in,Tänzer/in,TänzerIn
"Tatperson, Unrechtsperson, straffällig, gewordene Person",Täter,Täterin,Täter:in,Täter_in,Täter*in,Täter/in,TäterIn
"mitwirkende Person, teilnehmende Person",Teilnehmer,Teilnehmerin,Teilnehmer:in,Teilnehmer_in,Teilnehmer*in,Teilnehmer/in,TeilnehmerIn
"Remote-Personal, Tele-Personal",Telemitarbeiter,Telemitarbeiterin,Telemitarbeiter:in,Telemitarbeiter_in,Telemitarbeiter*in,Telemitarbeiter/in,TelemitarbeiterIn
"therapeutisches, Fachpersonal",Therapeut,Therapeutin,Therapeut:in,Therapeut_in,Therapeut*in,Therapeut/in,TherapeutIn
torhütende Person,Torwart,Torwartin,Torwart:in,Torwart_in,Torwart*in,Torwart/in,TorwartIn
"Trägerschaft, verantwortliche, Einrichtung/Körperschaft",Träger,Trägerin,Träger:in,Träger_in,Träger*in,Träger/in,TrägerIn
"übungsleitung, moderierende Person",Trainer,Trainerin,Trainer:in,Trainer_in,Trainer*in,Trainer/in,TrainerIn
"übersetzende, Literatur, übersetzende",Übersetzer,Übersetzerin,Übersetzer:in,Übersetzer_in,Übersetzer*in,Übersetzer/in,ÜbersetzerIn
"unternehmerisch, tätige Person, Gewerbe, betreibende Person, selbstständige Person, Unternehmensleitung",Unternehmer,Unternehmerin,Unternehmer:in,Unternehmer_in,Unternehmer*in,Unternehmer/in,UnternehmerIn
"vegan, lebende Person",Veganer,Veganerin,Veganer:in,Veganer_in,Veganer*in,Veganer/in,VeganerIn
"vegetarisch, lebende Person",Vegetarier,Vegetarierin,Vegetarier:in,Vegetarier_in,Vegetarier*in,Vegetarier/in,VegetarierIn
"verfasst, von, Autorenschaft",Verfasser,Verfasserin,Verfasser:in,Verfasser_in,Verfasser*in,Verfasser/in,VerfasserIn
"verkaufende Person, verkaufende, Partei, Kaufhauspersonal Personal, Verkaufskraft, Verkaufsperson, Geschäft, Onlineshop",Verkäufer,Verkäuferin,Verkäufer:in,Verkäufer_in,Verkäufer*in,Verkäufer/in,VerkäuferIn
der letzte Platz,Verlierer,Verliererin,Verlierer:in,Verlierer_in,Verlierer*in,Verlierer/in,VerliererIn
verlobte Person,Verlobter,Verlobte,Verlobte,Verlobte,Verlobte,Verlobte,Verlobte
vermietende Person,Vermieter,Vermieterin,Vermieter:in,Vermieter_in,Vermieter*in,Vermieter/in,VermieterIn
Mittelsperson,Vermittler,Vermittlerin,Vermittler:in,Vermittler_in,Vermittler*in,Vermittler/in,VermittlerIn
"Verteidigung, Rechtsvertretung",Verteidiger,Verteidigerin,Verteidiger:in,Verteidiger_in,Verteidiger*in,Verteidiger/in,VerteidigerIn
"Vertragspartei, Vertragsperson",Vertragspartner,Vertragspartnerin,Vertragspartner:in,Vertragspartner_in,Vertragspartner*in,Vertragspartner/in,VertragspartnerIn
"in vertretender Position, Mitglied von, Vertreteron",Vertreter,Vertreterin,Vertreter:in,Vertreter_in,Vertreter*in,Vertreter/in,VertreterIn
Familienmitglied,Verwandter,Verwandte,Verwandte,Verwandte,Verwandte,Verwandte,Verwandte
"vorangegangene Person, Person vor mir",Vorgänger,Vorgängerin,Vorgänger:in,Vorgänger_in,Vorgänger*in,Vorgänger/in,VorgängerIn
Führungskraft,Vorgesetzter,Vorgesetzte,Vorgesetzte,Vorgesetzte,Vorgesetzte,Vorgesetzte,Vorgesetzte
Vorsitzenderon,Vorsitzender,Vorsitzenderin,Vorsitzender:in,Vorsitzender_in,Vorsitzender*in,Vorsitzender/in,VorsitzenderIn
"Wahlberechtigte, alle die zur Wahl gegangen sind, Stimmberechtigte, Wahlvolk, Wähleron",Wähler,Wählerin,Wähler:in,Wähler_in,Wähler*in,Wähler/in,WählerIn
"Fachkraft, für, Werkzeugmechanik",Werkzeugmechaniker,Werkzeugmechanikerin,Werkzeugmechaniker:in,Werkzeugmechaniker_in,Werkzeugmechaniker*in,Werkzeugmechaniker/in,WerkzeugmechanikerIn
"Mensch aus der Wissenschaft forschende Person, Wissenschaftleron",Wissenschaftler,Wissenschaftlerin,Wissenschaftler:in,Wissenschaftler_in,Wissenschaftler*in,Wissenschaftler/in,WissenschaftlerIn
"wissenschaftlich, mitarbeitende Person, wissenschaftliche Fachkraft, wissenschaftlicher Mitarbeiteron",wissenschaftlicher Mitarbeiter,wissenschaftliche Mitarbeiterin,wissenschaftliche Mitarbeiter:in,wissenschaftliche Mitarbeiter_in,wissenschaftliche Mitarbeiter*in,wissenschaftliche Mitarbeiter/in,wissenschaftliche MitarbeiterIn
Workshopleitung,Workshopleiter,Workshopleiterin,Workshopleiter:in,Workshopleiter_in,Workshopleiter*in,Workshopleiter/in,WorkshopleiterIn
"zahnärztliches Fachpersonal, Fachkraft der Zahnmedizin, zahnmedizinisches Fachpersonal, Zahnärzton",Zahnarzt,Zahnärztin,Zahnärzt:in,Zahnärzt_in,Zahnärzt*in,Zahnärzt/in,ZahnärztIn
bezeugende Person,Zeuge,Zeugin,Zeug:in,Zeug_in,Zeug*in,Zeug/in,ZeugIn
"Publikum, Auditorium, Zuhörerschaft, Zuhörende",Zuhörer,Zuhörerin,Zuhörer:in,Zuhörer_in,Zuhörer*in,Zuhörer/in,ZuhörerIn
"Person aus dem Publikum, Zuschaueron",Zuschauer,Zuschauerin,Zuschauer:in,Zuschauer_in,Zuschauer*in,Zuschauer/in,ZuschauerIn
Heiratsperson,Gatte,Gattin,Gatt:in,Gatt_in,Gatt*in,Gatt/in,GattIn
Authoritätsperson,Herr,Herrin,Herr:in,Herr_in,Herr*in,Herr/in,HerrIn
Opfer,Opfer,Opfer,Opfer,Opfer,Opfer,Opfer,Opfer
 die eine oder der andere, der ein oder andere, die ein oder andere, die e:in oder andere, die e_in oder andere, die e*in oder andere, die e/in oder andere, die eIn oder andere
Geschmäcker sind verschieden., Jedem das Seine., Jedem das Seine.in, Jedem das Seine.:in, Jedem das Seine._in, Jedem das Seine.*in, Jedem das Seine./in, Jedem das Seine.In
Gegenüber,(der) andere,(die) andere,(die) andere,(die) andere,(die) andere,(die) andere,(die) andere
Alleinerziehende,Alleinerziehende,Alleinerziehende ,Alle:inerziehende ,Alle_inerziehende ,Alle*inerziehende ,Alle/inerziehende ,AlleInerziehende 
Ehemalige,Alumni,Alumni,Alumni,Alumni,Alumni,Alumni,Alumni
"ärztliches Fachpersonal, Versorgungspersonal, ärtzteschaft",ärzte,ärztinnen,ärzt:innen,ärzt_innen,ärzt*innen,ärzt/innen,ärztInnen
"Nachwuchskraft, Person in Ausbildung, auszubildende Person, lernende Person",Azubi,Azubi,Azubi,Azubi,Azubi,Azubi,Azubi
Babysittende,Babysittende,Babysittende,Babysittende,Babysittende,Babysittende,Babysittende,Babysittende
Bankkaufperson,Bankkaufmann,Bankkauffrau,Bankkauffrau,Bankkauffrau,Bankkauffrau,Bankkauffrau,Bankkauffrau
"Arbeitskraft, beschäftigte Person, angestellte Person Person, im, Beschäftigungsverhältnis",Beschäftigter,Beschäftigterin,Beschäftigter:in,Beschäftigter_in,Beschäftigter*in,Beschäftigter/in,BeschäftigterIn
"beteiligte Person, beteiligte Seite",Beteiligter,Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte
"Mitglied, des, Betriebsrates",Betriebsrat,Betriebsrat,,,,,
"Mitglieder, des Betriebsrates, der Betriebsrat, Mitarbeitendenvertretung, der Personalrat",Betriebsräte,Betriebsräte,,,,,
"betroffene Person, Opfer",Betroffener,Betroffene,Betroffene,Betroffene,Betroffene,Betroffene,Betroffene
"Fachkraft für Biologie, Biologon",Biologe,Biologein,Biologe:in,Biologe_in,Biologe*in,Biologe/in,BiologeIn
"Hochzeitspaar, verlobtes Paar, Brautpaar",Brautpaar,Brautpaarin,Brautpaar:in,Brautpaar_in,Brautpaar*in,Brautpaar/in,BrautpaarIn
"Geschwister, das Geschwisterkind",Bruder ,Schwester,Schwester,Schwester,Schwester,Schwester,Schwester
"Geschwister, Geschwisterkinder",Brüder und Schwestern,Brüder und Schwestern,Brüder und Schwestern,Brüder und Schwestern,Brüder und Schwestern,Brüder und Schwestern,Brüder und Schwestern
"Mitmenschlichkeit, Solidarität, Geschwisterlichkeit",Brüderlichkeit,Schwesternschaft,Schwesternschaft,Schwesternschaft,Schwesternschaft,Schwesternschaft,Schwesternschaft
Menschen christlichen Glaubens,Christen,Christin,Christ:in,Christ_in,Christ*in,Christ/in,ChristIn
"Geschwister, 2. Grades, Couson",Cousins,Cousine,Cous:ine,Cous_ine,Cous*ine,Cous/ine,CousIne
"dier, del",der,die,,,,,
"diejenige Person die, die Person, die, ","derjenige, der","diejenige, die","diejenige, die","diejenige, die","diejenige, die","diejenige, die","diejenige, die"
"Dönerimbiss, Dönerverkauf, Kebapverkauf, Dönerfachgeschäft, Dönerbude",Dönermann,Dönerfrau,Dönerfrau,Dönerfrau,Dönerfrau,Dönerfrau,Dönerfrau
dritte Person,Dritter,Dritte,Dritte,Dritte,Dritte,Dritte,Dritte
"die Ehe teilende Person, Ehemensch, Eheherzperson, Herzmensch, Herzensmensch",Ehegatte,Ehegattin,Ehegatt:in,Ehegatt_in,Ehegatt*in,Ehegatt/in,EhegattIn
Eheleute,Ehegatten,Ehegattinnen,Ehegatt:innen,Ehegatt_innen,Ehegatt*innen,Ehegatt/innen,EhegattInnen
"dir, selbst",einem selbst,einer selbst,einer selbst,einer selbst,einer selbst,einer selbst,einer selbst
"der, Reihe, nach",einer nach dem anderen,einer nach der anderen,e:iner nach der anderen,e_iner nach der anderen,e*iner nach der anderen,e/iner nach der anderen,eIner nach der anderen
"alle, die, einzelne Person",Einzelner,Einzelne,Einzelne,Einzelne,Einzelne,Einzelne,Einzelne
dey,er,sie,,,,,
"Einsatzkräfte, der, Feuerwehr, Feuerwehrangehörige, Feuerwehr, Feuerwehrleute, Feuerbekämpfende",Feuerwehrmänner,Feuerwehrfrauen,Feuerwehrfrauen,Feuerwehrfrauen,Feuerwehrfrauen,Feuerwehrfrauen,Feuerwehrfrauen
"haushaltsführende Person, Haushalt, organisierende Person, Haushaltsvorstand",Hausfrau,Hausfrau,Hausfrau,Hausfrau,Hausfrau,Hausfrau,Hausfrau
Individuum,Individuum,Individuum,Individuum,Individuum,Individuum,Individuum,Individuum
"alle, alle, für, sich, sämtliche",jeder,jede,jede,jede,jede,jede,jede
"alle, sämtliche, jeder, Mensch",jedermann,jedermannin,jedermann:in,jedermann_in,jedermann*in,jedermann/in,jedermannIn
"eine Person, die, ein Mensch, der, dey","jemand, der ","jemand, der in","jemand, der :in","jemand, der _in","jemand, der *in","jemand, der /in","jemand, der In"
niemand,keiner,keine,ke:ine,ke_ine,ke*ine,ke/ine,keIne
"kein, Mensch, der, , keine Person, die, ","keiner, der ","keine, die ","ke:ine, die ","ke_ine, die ","ke*ine, die ","ke/ine, die ","keIne, die "
"Pflegekräfte, Pflegefachpersonen, Pflegepersonal, Beschäftigte in der Krankenpflege, professionell, Pflegende, Krankenpflegeron",Krankenpfleger,Krankenschwestern,Krankenschwestern,Krankenschwestern,Krankenschwestern,Krankenschwestern,Krankenschwestern
"An, Hallo, Guten, Tag, ",Lieber,Liebe,Liebe:r,Liebe_r,Liebe*r,Liebe/r,LiebeR
"Sie, viele, wir, ich",man,man,man,man,man,man,man
"manch, einer Person",manch einem,manch eine,manch e:ine,manch e_ine,manch e*ine,manch e/ine,manch eIne
Person,Mann,Frau,Frau,Frau,Frau,Frau,Frau
"Figürchen, Spielfigur",Männchen,Männchen,Männchen,Männchen,Männchen,Männchen,Männchen
"1:1-Verteidigung, 1:1-Deckung Personenorientierte, Deckung, Direktdeckung, ",Manndeckung ,Frauendeckung,Frauendeckung,Frauendeckung,Frauendeckung,Frauendeckung,Frauendeckung
"personenlos, computergesteuert, autonom, unbesetzt, selbstständig",mannlos,fraulos,fraulos,fraulos,fraulos,fraulos,fraulos
Mensch,Mensch,Mensch,Mensch,Mensch,Mensch,Mensch,Mensch
"Zugehörige, Angehörige, Teil von, ",Mitglied,Mitglied,Mitglied,Mitglied,Mitglied,Mitglied,Mitglied
"Zugehörige, Angehörige, Teil von, ",Mitglieder,Mitgliederinnen,Mitglieder:innen,Mitglieder_innen,Mitglieder*innen,Mitglieder/innen,MitgliederInnen
nächste Person,Nächster,Nächste,Nächste,Nächste,Nächste,Nächste,Nächste
"keine Person die,  kein Mensch der, ","niemand, der ","niemand, die ","niemand, die ","niemand, die ","niemand, die ","niemand, die ","niemand, die "
"Fachperson, Person mit Fachwissen, Person mit Fachkenntnis, Profi",Profi,Profi,Profi,Profi,Profi,Profi,Profi
"Sachkundige, Fachleute, Sachverständige, Profis",Profis,Profis,Profis,Profis,Profis,Profis,Profis
Schwiegerkind,Schwiegersohn,Schwiegertochter,Schwiegertochter,Schwiegertochter,Schwiegertochter,Schwiegertochter,Schwiegertochter
Schwiegerelternteil,Schwiegervater,Schwiegermutter ,Schwiegermutter ,Schwiegermutter ,Schwiegermutter ,Schwiegermutter ,Schwiegermutter 
deren,sein,ihr,,,,,
denen,sein,ihr,,,,,
dem,seine,ihre,,,,,
dem,seine,ihre,,,,,
"zu jener Zeit, damals, einst, früher",seinerzeit,ihrerzeit,ihrerzeit,ihrerzeit,ihrerzeit,ihrerzeit,ihrerzeit
von gleicher Art,seinesgleichen,ihresgleichen,ihresgleichen,ihresgleichen,ihresgleichen,ihresgleichen,ihresgleichen
Elternteil,Vater,Mutter,Mutter,Mutter,Mutter,Mutter,Mutter
Elternteil,Vater,Mutter,Mutter,Mutter,Mutter,Mutter,Mutter
"Vorstandsmitglied, im, Vorstand",Vorstand,Vorstand,Vorstand,Vorstand,Vorstand,Vorstand,Vorstand
"Servicekraft, Raumpflege, Reinigungskraft",Zimmermädchen,Zimmermädchen,Zimmermädchen,Zimmermädchen,Zimmermädchen,Zimmermädchen,Zimmermädchen
"Beschäftigte, Arbeitskräfte,  Erwerbstätige",Beschäftigte,Beschäftigte,Beschäftigte,Beschäftigte,Beschäftigte,Beschäftigte,Beschäftigte
Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte,Beteiligte
Schwangere,schwanger Mann,schwangere Frauen,schwangere Frauen,schwangere Frauen,schwangere Frauen,schwangere Frauen,schwangere Frauen
kfZ-Mechanik-Innung, KfZ-Mechaniker-Innung, KfZ-Mechanikerin-Innung, KfZ-Mechaniker:in-Innung, KfZ-Mechaniker_in-Innung, KfZ-Mechaniker*in-Innung, KfZ-Mechaniker/in-Innung, KfZ-MechanikerIn-Innung
" von der Krebskrankheit Betroffene, Krebskranke", Krebspatienten, Krebspatientin, Krebspatient:in, Krebspatient_in, Krebspatient*in, Krebspatient/in, KrebspatientIn
"Treffen der Abteilungsleitungen, Treffen der Leitungsebene",Abteilungsleitertreffen,Abteilungsleiterintreffen,Abteilungsleiter:intreffen,Abteilungsleiter_intreffen,Abteilungsleiter*intreffen,Abteilungsleiter/intreffen,AbteilungsleiterIntreffen
"Netzwerk von Engagierten, Netzwerk von Aktiven",Akteursnetzwerk,Akteurinnennetzwerk,Akteur:innennetzwerk,Akteur_innennetzwerk,Akteur*innennetzwerk,Akteur/innennetzwerk,AkteurInnennetzwerk
"Einstiegskurs, Grundkurs, Kurs für Menschen ohne Vorkenntnisse, Kurs für Menschen ohne Vorerfahrung",Anfängerkurs,Anfängerinkurs,Anfänger:inkurs,Anfänger_inkurs,Anfänger*inkurs,Anfänger/inkurs,AnfängerInkurs
