neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Die die Clownerie ausübende Person brachte die Kinder zum Lachen.,Der Clown brachte die Kinder zum Lachen.,Die Clownin brachte die Kinder zum Lachen.,Dier Clown:in brachte die Kinder zum Lachen.,Dier Clown_in brachte die Kinder zum Lachen.,Dier Clown*in brachte die Kinder zum Lachen.,Dier Clown/in brachte die Kinder zum Lachen.,Dier ClownIn brachte die Kinder zum Lachen.
Die coachende Person motivierte das Team vor dem wichtigen Spiel.,Der Coach motivierte das Team vor dem wichtigen Spiel.,Die Coachin motivierte das Team vor dem wichtigen Spiel.,Dier Coach:in motivierte das Team vor dem wichtigen Spiel.,Dier Coach_in motivierte das Team vor dem wichtigen Spiel.,Dier Coach*in motivierte das Team vor dem wichtigen Spiel.,Dier Coach/in motivierte das Team vor dem wichtigen Spiel.,Dier CoachIn motivierte das Team vor dem wichtigen Spiel.
Die codende Person programmierte eine neue App.,Der Coder programmierte eine neue App.,Die Coderin programmierte eine neue App.,Dier Coder:in programmierte eine neue App.,Dier Coder_in programmierte eine neue App.,Dier Coder*in programmierte eine neue App.,Dier Coder/in programmierte eine neue App.,Dier CoderIn programmierte eine neue App.
Die Geschwister 2. Grades spielten zusammen im Garten.,Die Cousins spielten zusammen im Garten.,Die Cousinen spielten zusammen im Garten.,Die Geschwister 2. Grades spielten zusammen im Garten.,Die Geschwister 2. Grades spielten zusammen im Garten.,Die Geschwister 2. Grades spielten zusammen im Garten.,Die Geschwister 2. Grades spielten zusammen im Garten.,Die Geschwister 2. Grades spielten zusammen im Garten.
Die Chorleitung dirigierte den Chor während des Konzerts.,Der Chorleiter dirigierte den Chor während des Konzerts.,Die Chorleiterin dirigierte den Chor während des Konzerts.,Dier Chorleiter:in dirigierte den Chor während des Konzerts.,Dier Chorleiter_in dirigierte den Chor während des Konzerts.,Dier Chorleiter*in dirigierte den Chor während des Konzerts.,Dier Chorleiter/in dirigierte den Chor während des Konzerts.,Dier ChorleiterIn dirigierte den Chor während des Konzerts.
Die Operationsinstrumente waren aus hochwertigem Chirurgiestahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurgenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurginnenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurg:innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurg_innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurg*innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurg/innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem ChirurgInnenstahl gefertigt.
Der Chorleitenden dirigierten die Singenden mit großer Leidenschaft.,Die Chorleiter dirigierten die Sänger mit großer Leidenschaft.,Die Chorleiterinnen dirigierten die Sängerinnen mit großer Leidenschaft.,Die Chorleiter:innen dirigierten die Sänger:innen mit großer Leidenschaft.,Die Chorleiter_innen dirigierten die Sänger_innen mit großer Leidenschaft.,Die Chorleiter*innen dirigierten die Sänger*innen mit großer Leidenschaft.,Die Chorleiter/innen dirigierten die Sänger/innen mit großer Leidenschaft.,Die ChorleiterInnen dirigierten die SängerInnen mit großer Leidenschaft.
Der cyber-erpressende Person forderte ein Lösegeld in Bitcoin.,Der Cyber-Erpresser forderte ein Lösegeld in Bitcoin.,Die Cyber-Erpresserin forderte ein Lösegeld in Bitcoin.,Dier Cyber-Erpresser:in forderte ein Lösegeld in Bitcoin.,Dier Cyber-Erpresser_in forderte ein Lösegeld in Bitcoin.,Dier Cyber-Erpresser*in forderte ein Lösegeld in Bitcoin.,Dier Cyber-Erpresser/in forderte ein Lösegeld in Bitcoin.,Dier Cyber-ErpresserIn forderte ein Lösegeld in Bitcoin.
"Die telefonische Beratung der Kundschaft erfolgt durch Miks, dey hat wie immer eine super Leistung gezeigt.",Der Callcenter Agent Miks hat wie immer eine super Leistung gezeigt.,Die Callcenter Agentin Miks hat wie immer eine super Leistung gezeigt.,Dier Callcenter Agent:in Miks hat wie immer eine super Leistung gezeigt.,Dier Callcenter Agent_in Miks hat wie immer eine super Leistung gezeigt.,Dier Callcenter Agent*in Miks hat wie immer eine super Leistung gezeigt.,Dier Callcenter Agent/in Miks hat wie immer eine super Leistung gezeigt.,Der Callcenter Agenter Miks hat wie immer eine super Leistung gezeigt.
"Als Callcenteroperierende Person ist es deren Aufgabe, die Anliegen der Anrufenden professionell zu bearbeiten.
","Als Callcenteroperator ist es seine Aufgabe, die Anliegen der Anrufer professionell zu bearbeiten.
","Als Callcenteroperatorin ist es ihre Aufgabe, die Anliegen der Anruferinnen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer:innen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer_innen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer*innen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer/innen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der AnruferInnen professionell zu bearbeiten.
"
"Das Casemanagement wird von speziell geschulten Fachkräften durchgeführt, um eine effiziente Lösung zu finden.",Der Casemanager ist eine geschulte Fachkraft und findet eine effiziente Lösung .,Die Casemangerin ist eine geschulte Fachkraft und findet eine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e:ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e_ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e*ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e/ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet eIne effiziente Lösung
Ich möchte die chefärztliche Behandlung.,Ich möchte die Chefarztbehandlung.,Ich möchte die Chefärztinbehandlung.,Ich möchte die Chefärzt:inbehandlung.,Ich möchte die Chefärzt_inbehandlung.,Ich möchte die Chefärzt*inbehandlung.,Ich möchte die Chefärzt/inbehandlung.,Ich möchte die ChefärztInbehandlung.
... Gewappnet sein gegen Cyper-Erpressung,... Gewappnet sein gegen Cyper-Erpresser.,... Gewappnet sein gegen Cyper-Erpresserinnen.,... Gewappnet sein gegen Cyper-Erpresser:innen.,... Gewappnet sein gegen Cyper-Erpresser_innen.,... Gewappnet sein gegen Cyper-Erpresser*innen.,... Gewappnet sein gegen Cyper-Erpresser/innen.,... Gewappnet sein gegen Cyper-ErpresserInnen.
,C,C,C,C,C,C,C
Deren Haus ist seit längerem im Bau.,Sein Haus ist seit längerem im Bau.,Ihr Haus ist seit längerem im Bau.,Deren Haus ist seit längerem im Bau.,Deren Haus ist seit längerem im Bau.,Deren Haus ist seit längerem im Bau.,Deren Haus ist seit längerem im Bau.,Deren Haus ist seit längerem im Bau.
Deren Hose war blau.,Seine Hose war blau.,Ihre Hose war blau.,Deren Hose war blau.,Deren Hose war blau.,Deren Hose war blau.,Deren Hose war blau.,Deren Hose war blau.
Dey geht heute Abend ins Kino.,Er geht heute Abend ins Kino.,Sie geht heute Abend ins Kino.,Dey geht heute Abend ins Kino.,Dey geht heute Abend ins Kino.,Dey geht heute Abend ins Kino.,Dey geht heute Abend ins Kino.,Dey geht heute Abend ins Kino.
Dey wollte deren Auto verkaufen.,Er wollte sein Auto verkaufen.,Sie wollte ihr Auto verkaufen.,Dey wollte deren Auto verkaufen.,Dey wollte deren Auto verkaufen.,Dey wollte deren Auto verkaufen.,Dey wollte deren Auto verkaufen.,Dey wollte deren Auto verkaufen.
Die Forschende Person wirft spannende Fragen auf. ,Der Forscher wirft spannende Fragen auf. ,Die Forscherin wirft spannende Fragen auf. ,Dier Forscher:in wirft spannende Fragen auf. ,Dier Forscher_in wirft spannende Fragen auf. ,Dier Forscher*in wirft spannende Fragen auf. ,Dier Forscher/in wirft spannende Fragen auf. ,Dier ForscherIn wirft spannende Fragen auf. 
Die darstellende Person auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Der Darsteller auf der Bühne beeindruckte das Publikum mit seiner beeindruckenden Präsenz.,Die Darstellerin auf der Bühne beeindruckte das Publikum mit ihrer beeindruckenden Präsenz.,Dier Darsteller:in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Dier Darsteller_in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Dier Darsteller*in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Dier Darsteller/in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Dier DarstellerIn auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.
"Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
"
Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellenden besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellern besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellerinnen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darsteller:innen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darsteller_innen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darsteller*innen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darsteller/innen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten DarstellerInnen besetzt.
"Die Fachperson für Datenschutz sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Der Datenschutzbeauftragter sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben."
Die demonstrierende Person hielt deren Transparent in die Höhe.,Der Demonstrant hielt sein Transparent in die Höhe.,Die Demonstrantin hielt ihr Transparent in die Höhe.,Dier Demonstrant:in hielt deren Transparent in die Höhe.,Dier Demonstrant_in hielt deren Transparent in die Höhe.,Dier Demonstrant*in hielt deren Transparent in die Höhe.,Dier Demonstrant/in hielt deren Transparent in die Höhe.,Dier DemonstrantIn hielt deren Transparent in die Höhe.
"Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Derjenige, der den Schatz zuerst findet, darf ihn behalten. ","Diejenige, die den Schatz zuerst findet, darf ihn behalten. ","Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. "
Die (privat) ermittelnde Person verfolgte die Spur des Verdächtigen.,Der Detektiv verfolgte die Spur des Verdächtigen.,Die Detektivin verfolgte die Spur der Verdächtigen.,Dier Detektiv:in verfolgte die Spur der verdächtigen Person.,Dier Detektiv_in verfolgte die Spur der verdächtigen Person.,Dier Detektiv*in verfolgte die Spur der verdächtigen Person.,Dier Detektiv/in verfolgte die Spur der verdächtigen Person.,Dier DetektivIn verfolgte die Spur der verdächtigen Person.
Die deutsche Person genießt ihr Feierabendbier im Biergarten.,Der Deutsche genießt sein Feierabendbier im Biergarten.,Die Deutsche genießt ihr Feierabendbier im Biergarten.,Dier Deutsche genießt deren Feierabendbier im Biergarten.,Dier Deutsche genießt deren Feierabendbier im Biergarten.,Dier Deutsche genießt deren Feierabendbier im Biergarten.,Dier Deutsche genießt deren Feierabendbier im Biergarten.,Dier Deutsche genießt deren Feierabendbier im Biergarten.
"Dier Developing Employee ist bekannt für deren hilfreichen Code Reviews, für die deren Kollegschaft dem sehr dankbar sind.","Der Developer ist bekannt für seine hilfreichen Code Reviews, für die seine Kollegen ihm sehr dankbar sind.","Die Developerin ist bekannt für ihre hilfreichen Code Reviews, für die ihre Kolleginnen ihr sehr dankbar sind.","Dier Developer:in ist bekannt für deren hilfreichen Code Reviews, für die deren Kolleg:innen dem sehr dankbar sind.","Dier Developer_in ist bekannt für deren hilfreichen Code Reviews, für die deren Kolleg_innen dem sehr dankbar sind.","Die*der Developer*in ist bekannt für deren hilfreichen Code Reviews, für die deren Kolleg*innen dem sehr dankbar sind.","Dier Developer/in ist bekannt für deren hilfreichen Code Reviews, für die deren Kolleg/innen dem sehr dankbar sind.","Dier DeveloperIn ist bekannt für deren hilfreichen Code Reviews, für die deren KollegInnen dem sehr dankbar sind."
Die dichtende Person schrieb ein wunderschönes Gedicht über die Natur.,Der Dichter schrieb ein wunderschönes Gedicht über die Natur.,Die Dichterin schrieb ein wunderschönes Gedicht über die Natur.,Dier Dichter:in schrieb ein wunderschönes Gedicht über die Natur.,Dier Dichter_in schrieb ein wunderschönes Gedicht über die Natur.,Dier Dichter*in schrieb ein wunderschönes Gedicht über die Natur.,Dier Dichter/in schrieb ein wunderschönes Gedicht über die Natur.,Dier DichterIn schrieb ein wunderschönes Gedicht über die Natur.
Die didaktisch ausgebildete Person entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Der Didaktiker entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Die Didaktikerin entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Dier Didaktiker:in entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Dier Didaktiker_in entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Dier Didaktiker*in entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Dier Didaktiker/in entwickelte ein neues Lehrkonzept für den Sprachunterricht.,Dier DidaktikerIn entwickelte ein neues Lehrkonzept für den Sprachunterricht.
Die stehlende Person wurde auf frischer Tat ertappt.,Der Dieb wurde auf frischer Tat ertappt.,Die Diebin wurde auf frischer Tat ertappt.,Dier Dieb:in wurde auf frischer Tat ertappt.,Dier Dieb_in wurde auf frischer Tat ertappt.,Dier Dieb*in wurde auf frischer Tat ertappt.,Dier Dieb/in wurde auf frischer Tat ertappt.,Dier DiebIn wurde auf frischer Tat ertappt.
Die stehlenden Personen entkamen mit der Beute.,Die Diebe entkamen mit der Beute.,Die Diebinnen entkamen mit der Beute.,Die Dieb:innen entkamen mit der Beute.,Die Dieb_innen entkamen mit der Beute.,Die Dieb*innen entkamen mit der Beute.,Die Dieb/innen entkamen mit der Beute.,Die DiebInnen entkamen mit der Beute.
Die Dienstleistenden bietet exzellenten Service.,Die Dienstleister bietet exzellenten Service.,Die Dienstleisterinnen bietet exzellenten Service.,Die Dienstleister:innen bietet exzellenten Service.,Die Dienstleister_innen bietet exzellenten Service.,Die Dienstleister*innen bietet exzellenten Service.,Die Dienstleister/innen bietet exzellenten Service.,Die DienstleisterInnen bietet exzellenten Service.
Die diktatorisch herrschende Person regiert das Land mit harter Hand.,Der Diktator regiert das Land mit harter Hand.,Die Diktatorin regiert das Land mit harter Hand.,Dier Diktator:in regiert das Land mit harter Hand.,Dier Diktator_in regiert das Land mit harter Hand.,Dier Diktator*in regiert das Land mit harter Hand.,Dier Diktator/in regiert das Land mit harter Hand.,Dier DiktatorIn regiert das Land mit harter Hand.
Die dolmetschende Person übersetzte das Gespräch in Echtzeit.,Der Dolmetscher übersetzte das Gespräch in Echtzeit.,Die Dolmetscherin übersetzte das Gespräch in Echtzeit.,Dier Dolmetscher:in übersetzte das Gespräch in Echtzeit.,Dier Dolmetscher_in übersetzte das Gespräch in Echtzeit.,Dier Dolmetscher*in übersetzte das Gespräch in Echtzeit.,Dier Dolmetscher/in übersetzte das Gespräch in Echtzeit.,Dier DolmetscherIn übersetzte das Gespräch in Echtzeit.
Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Der Dönermann bereitete den besten Döner der Stadt zu.,Die Dönerfrau bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.
"Die dahergelaufene Person sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","Der Dahergelaufene sah aus, als wäre er den ganzen Tag durch den Regen gelaufen.","Die Dahergelaufene sah aus, als wäre sie den ganzen Tag durch den Regen gelaufen.","Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen."
"Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des E:in- und Aussteigens.
","Der junge Mann mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Frau mit dem Damenfahrrad genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
"
Die darstellenden Kinder eroberten die Herzen des Publikums mit deren unbekümmerten Natürlichkeit.,Die Kinderdarsteller eroberten die Herzen des Publikums mit seiner unbekümmerten Natürlichkeit.,Die Kinderdarstellerinnen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die Kinderdarsteller:innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die Kinderdarsteller_innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die Kinderdarsteller*innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die Kinderdarsteller/innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die KinderdarstellerInnen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.
"Die Leitung des Dekanats hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Der Dekan hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Die Dekanin hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Dier Dekan:in hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Dier Dekan_in hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Dier Dekan*in hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Dier Dekan/in hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Dier DekanIn hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten."
Die delegierte Person vertrat unser Land bei der internationalen Konferenz.,Der Delegierte vertrat unser Land bei der internationalen Konferenz.,Die Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.
Dey ist eine von vielen demokratisch eingestellten Personen in der Versammlung.,Er ist einer von vielen Demokraten in der Versammlung.,Sie ist eine von vielen Demokratinnen in der Versammlung.,Dey ist eine:r von vielen Demokrat:innen in der Versammlung.,Dey ist eine:r von vielen Demokrat_innen in der Versammlung.,Dey ist eine:r von vielen Demokrat*innen in der Versammlung.,Dey ist eine:r von vielen Demokrat/innen in der Versammlung.,Dey ist eineR von vielen DemokratInnen in der Versammlung.
Die designschaffende Person entwarf eine neue Kollektion für die Modenschau.,Der Designer entwarf eine neue Kollektion für die Modenschau.,Die Designerin entwarf eine neue Kollektion für die Modenschau.,Dier Designer:in entwarf eine neue Kollektion für die Modenschau.,Dier Designer_in entwarf eine neue Kollektion für die Modenschau.,Dier Designer*in entwarf eine neue Kollektion für die Modenschau.,Dier Designer/in entwarf eine neue Kollektion für die Modenschau.,Dier DesignerIn entwarf eine neue Kollektion für die Modenschau.
Die das Dezernat leitende Person leitete das Bauamt der Stadt.,Der Dezernent leitete das Bauamt der Stadt.,Die Dezernentin leitete das Bauamt der Stadt.,Dier Dezernent:in leitete das Bauamt der Stadt.,Dier Dezernent_in leitete das Bauamt der Stadt.,Dier Dezernent*in leitete das Bauamt der Stadt.,Dier Dezernent/in leitete das Bauamt der Stadt.,Dier DezernentIn leitete das Bauamt der Stadt.
Der Mensch mit Diabetes muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Der Diabetiker muss regelmäßig seinen Blutzuckerspiegel kontrollieren.,Die Diabetikerin muss regelmäßig ihren Blutzuckerspiegel kontrollieren.,Dier Diabetiker:in muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Dier Diabetiker_in muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Dier Diabetiker*in muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Dier Diabetiker/in muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Dier DiabetikerIn muss regelmäßig deren Blutzuckerspiegel kontrollieren.
Die dienstleistende Person bietet exzellenten Service.,Der Dienstleister bietet exzellenten Service.,Die Dienstleisterin bietet exzellenten Service.,Dier Dienstleister:in bietet exzellenten Service.,Dier Dienstleister_in bietet exzellenten Service.,Dier Dienstleister*in bietet exzellenten Service.,Dier Dienstleister/in bietet exzellenten Service.,Dier DienstleisterIn bietet exzellenten Service.
Die Person im diplomatischen Dienst verhandelte über den Friedensvertrag.,Der Diplomat verhandelte über den Friedensvertrag.,Die Diplomatin verhandelte über den Friedensvertrag.,Dier Diplomat:in verhandelte über den Friedensvertrag.,Dier Diplomat_in verhandelte über den Friedensvertrag.,Dier Diplomat*in verhandelte über den Friedensvertrag.,Dier Diplomat/in verhandelte über den Friedensvertrag.,Dier DiplomatIn verhandelte über den Friedensvertrag.
Die Leitung hielt eine Rede vor der gesamten Schule.,Der Direktor hielt eine Rede vor der gesamten Schule.,Die Direktorin hielt eine Rede vor der gesamten Schule.,Dier Direktor:in hielt eine Rede vor der gesamten Schule.,Dier Direktor_in hielt eine Rede vor der gesamten Schule.,Dier Direktor*in hielt eine Rede vor der gesamten Schule.,Dier Direktor/in hielt eine Rede vor der gesamten Schule.,Dier DirektorIn hielt eine Rede vor der gesamten Schule.
Der dirigierende Person führte das Orchester mit präzisen Bewegungen.,Der Dirigent führte das Orchester mit präzisen Bewegungen.,Die Dirigentin führte das Orchester mit präzisen Bewegungen.,Dier Dirigent:in führte das Orchester mit präzisen Bewegungen.,Dier Dirigent_in führte das Orchester mit präzisen Bewegungen.,Dier Dirigent*in führte das Orchester mit präzisen Bewegungen.,Dier Dirigent/in führte das Orchester mit präzisen Bewegungen.,Dier DirigentIn führte das Orchester mit präzisen Bewegungen.
Die DJ-Person legte großartige Musik auf der Party auf.,Der DJ legte großartige Musik auf der Party auf.,Die DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.
Die Promovierenden präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktoranden präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktorandinnen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktorand:innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktorand_innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktorand*innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktorand/innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die DoktorandInnen präsentierten ihre Forschungsergebnisse auf der Konferenz.
Dey schrieb deren Promotion über nachhaltige Landwirtschaft.,Er schrieb seine Doktorarbeit über nachhaltige Landwirtschaft.,Sie schrieb ihre Doktorinarbeit über nachhaltige Landwirtschaft.,Dey schrieb deren Doktor:inarbeit über nachhaltige Landwirtschaft.,Dey schrieb deren Doktor_inarbeit über nachhaltige Landwirtschaft.,Dey schrieb deren Doktor*inarbeit über nachhaltige Landwirtschaft.,Dey schrieb deren Doktor/inarbeit über nachhaltige Landwirtschaft.,Dey schrieb deren DoktorInarbeit über nachhaltige Landwirtschaft.
Die Promotionsbetreuung unterstützte die promovierende Person während deren Dissertation.,Der Doktorvater unterstützte den Doktoranden während seiner Dissertation.,Die Doktormutter unterstützte die Doktorandin während ihrer Dissertation.,Die Promotionsbetreuung unterstützte dier Doktorand:in während deren Dissertation.,Die Promotionsbetreuung unterstützte dier Doktorand_in während deren Dissertation.,Die Promotionsbetreuung unterstützte dier Doktorand*in während deren Dissertation.,Die Promotionsbetreuung unterstützte dier Doktorand/in während deren Dissertation.,Die Promotionsbetreuung unterstützte dier DoktorandIn während deren Dissertation.
... Wer betreut Ihre Promotion?,... Wer ist Ihr Doktorvater?,... Wer ist Ihre Doktormutter?,... Wer betreut Ihre Promotion?,... Wer betreut Ihre Promotion?,... Wer betreut Ihre Promotion?,... Wer betreut Ihre Promotion?,... Wer betreut Ihre Promotion?
"Die schauspielende Person hatte ein Ebenbild, das ihr zum Verwechseln ähnlich sah.","Der Schauspieler hatte einen Doppelgänger, der ihm zum Verwechseln ähnlich sah.","Die Schauspielerin hatte eine Doppelgängerin, die ihr zum Verwechseln ähnlich sah.","Dier Schauspieler:in hatte eine:n Doppelgänger:in, dier dem zum Verwechseln ähnlich sah.","Dier Schauspieler_in hatte eine_n Doppelgänger_in, dier dem zum Verwechseln ähnlich sah.","Dier Schauspieler*in hatte eine*n Doppelgänger*in, dier dem zum Verwechseln ähnlich sah.","Dier Schauspieler/in hatte eine/n Doppelgänger/in, dier dem zum Verwechseln ähnlich sah.","Dier SchauspielerIn hatte eineN DoppelgängerIn, dier dem zum Verwechseln ähnlich sah."
